original_file,new_file,status,mode,psm_start,schema_id,product_key,fac_pin,module,sw_ver,baud_cfg,production_offset
ATLO-S1IP5-TUYA.bin,Tuya_ATLO-S1IP5-TUYA.bin,ok,aes-ecb,0x7B000,,,,,,,0xFB000
BKL1262-failed-tuya-convert.bin,Tuya_BKL1262-failed-tuya-convert_(schemaID-0000003fng)_keyj979nf3q3theh_3.3.31.bin,ok,aes-ecb,0x7B000,0000003fng,keyj979nf3q3theh,,,3.3.31,,0xFB000
BW-LT29.bin,Tuya_BW-LT29_3hbswfjnpt0zxon8_1.0.0.bin,ok,aes-ecb,0x7B000,,3hbswfjnpt0zxon8,,,1.0.0,,0xFB000
BW-SHP10.bin,Tuya_BW-SHP10_(schemaID-0000005kwi)_vuyw3gn9lcaq4wmv_1.0.0.bin,ok,aes-ecb,0x7B000,0000005kwi,vuyw3gn9lcaq4wmv,,,1.0.0,,0xFB000
BW-SHP5.bin,Tuya_BW-SHP5_(schemaID-00000025q4)_key45jpuhsd5hqdp_1.1.1.bin,ok,aes-ecb,0x7B000,00000025q4,key45jpuhsd5hqdp,,,1.1.1,,0xFB000
BW-SHP6.bin,Tuya_BW-SHP6_ab4kwxlrok0yvxuo_1.0.4.bin,ok,aes-ecb,0x7B000,,ab4kwxlrok0yvxuo,,,1.0.4,,0xFB000
BW-SHP8.bin,Tuya_BW-SHP8_keyjcr45yfptp7h7_1.1.2.bin,ok,aes-ecb,0x7B000,,keyjcr45yfptp7h7,,,1.1.2,,0xFB000
BW-SHP9-4xSocketCoord.bin,Tuya_BW-SHP9-4xSocketCoord_(schemaID-0000003dde)_4es44udrj48pqtlb_1.0.2.bin,ok,aes-ecb,0x7B000,0000003dde,4es44udrj48pqtlb,,,1.0.2,,0xFB000
BW-SS3.bin,Tuya_BW-SS3_(schemaID-0000003yc9)_key5nck4tavy43jp_1.0.8.bin,ok,aes-ecb,0x7B000,0000003yc9,key5nck4tavy43jp,,,1.0.8,,0xFB000
dg-s601-20220125b.bin,Tuya_dg-s601-20220125b.bin,ok,aes-ecb,0x7B000,,,,,,,0xFB000
eggshape_powerplug_metering.bin,Tuya_eggshape_powerplug_metering_(schemaID-0000000jep)_YEq4BCABMfYb24dm_1.0.0.bin,ok,plaintext,0x7B000,0000000jep,YEq4BCABMfYb24dm,,,1.0.0,,0x7C2CE
ESP8266_0.96_OLED_Module-Original.bin,,no_rename_info,,,,,,,,,
ESP8266_WS_03H1-aka-_Sonoff_TH10slash16.bin,,no_rename_info,,,,,,,,,
ESP8266_WS_04H1-aka-_Sonoff_POW_R2.bin,,no_rename_info,,,,,,,,,
ESP8285_TDQ-101-U1-V1.7-20251216.bin,Tuya_TDQ-101-U1-V1.7-20251216_key7ekwhgm8cqpq3_ESP8285_1.0.3.bin,ok,aes-ecb,0x7B000,,key7ekwhgm8cqpq3,,,1.0.3,,0xFB000
ESP8285_WS-05H1-aka-Sonoff_Dual_R2.bin,,no_rename_info,,,,,,,,,
eWeLink_Sonoff_Basic_R2_ESP8285_1mb.bin,,no_rename_info,,,,,,,,,
gosund_strip_or_smth_nous-04-10-2022.bin,Tuya_gosund_strip_or_smth_nous-04-10-2022_y3kqwgqyq7bvkyhh_1.1.1.bin,ok,aes-ecb,0x7B000,,y3kqwgqyq7bvkyhh,,,1.1.1,,0xFB000
LEDStrip-Opuru_mini_V20.bin,,no_rename_info,,,,,,,,,
magicHomeLEDSingleChannel20220127a.bin,,no_rename_info,,,,,,,,,
NeoPowerPlug-NAS-OGCZ-16A-B-20181113.bin,Tuya_NeoPowerPlug-NAS-OGCZ-16A-B-20181113_(schemaID-0000000x59)_keyjcr45yfptp7h7_1.1.6.bin,ok,aes-ecb,0x7B000,0000000x59,keyjcr45yfptp7h7,,,1.1.6,,0xFB000
OvermaxFlowMultiControl_4x230v_3xUSB.bin,Tuya_OvermaxFlowMultiControl_4x230v_3xUSB_key5nck4tavy43jp_1.1.2.bin,ok,aes-ecb,0x7B000,,key5nck4tavy43jp,,,1.1.2,,0xFB000
RTX WRS1EM switch module.bin,Tuya_RTX_WRS1EM_switch_module_rrrvtts0uhueqpqb_1.0.0.bin,ok,aes-ecb,0x7B000,,rrrvtts0uhueqpqb,,,1.0.0,,0xFB000
Sonoff-2gang-RF-WS-EU-2C.bin,,no_rename_info,,,,,,,,,
Sonoff-Mini-R2.bin,,no_rename_info,,,,,,,,,
Sonoff_S26.bin,,no_rename_info,,,,,,,,,
TYWE2S_strip_4xsocket1xUSB-Woox-R4027.bin,Tuya_strip_4xsocket1xUSB-Woox-R4027_lo8wdsdvhchvcbsn_TYWE2S_2.0.0.bin,ok,plaintext,0x7B000,,lo8wdsdvhchvcbsn,,,2.0.0,,0x7C19E
TYWE3S-altPinout-Appio-2gang-9605.bin,Tuya_altPinout-Appio-2gang-9605_key5nck4tavy43jp_TYWE3S_1.1.2.bin,ok,aes-ecb,0x7B000,,key5nck4tavy43jp,,,1.1.2,,0xFB000
TYWE3S_ActionLSCSmokeSensor-PD-8912.bin,Tuya_ActionLSCSmokeSensor-PD-8912_cjlutkuuvxnie17o_TYWE3S_2.1.0.bin,ok,aes-ecb,0x7B000,,cjlutkuuvxnie17o,,,2.1.0,,0xFB000
TYWE3S_HIKING-3-phase-wifi-smart-meter.bin,Tuya_HIKING-3-phase-wifi-smart-meter_sw9asyjj8j44frjl_TYWE3S_3.1.4.bin,ok,aes-ecb,0x7B000,,sw9asyjj8j44frjl,,,3.1.4,,0xFB000
WemosD1Original.bin,,no_rename_info,,,,,,,,,
Zamel-DIW-01-Original.bin,,no_rename_info,,,,,,,,,
Zamel-ROW-02-original.bin,,no_rename_info,,,,,,,,,
Zamel-SLW-01.bin,,no_rename_info,,,,,,,,,
